rank,country,code,score,Explained by: GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption
1,Finland,FIN,"7,821","1,892","1,258",775,736,109,534
2,Denmark,DNK,"7,636","1,953","1,243",777,719,188,532
3,Iceland,ISL,"7,557","1,936","1,320",803,718,270,191
4,Switzerland,CHE,"7,512","2,026","1,226",822,677,147,461
5,Netherlands,NLD,"7,415","1,945","1,206",787,651,271,419
6,Luxembourg,LUX,"7,404","2,209","1,155",790,700,120,388
7,Sweden,SWE,"7,384","1,920","1,204",803,724,218,512
8,Norway,NOR,"7,365","1,997","1,239",786,728,217,474
9,Israel,ISR,"7,364","1,826","1,221",818,568,155,143
10,New Zealand,NZL,"7,200","1,852","1,235",752,680,245,483
11,Austria,AUT,"7,163","1,931","1,165",774,623,193,329
12,Australia,AUS,"7,162","1,900","1,203",772,676,258,341
13,Ireland,IRL,"7,041","2,129","1,166",779,627,190,408
14,Germany,DEU,"7,034","1,924","1,088",776,585,163,358
15,Canada,CAN,"7,025","1,886","1,188",783,659,217,368
16,USA,USA,"6,977","1,982","1,182",628,574,220,177
17,England,GBR,"6,943","1,867","1,143",750,597,289,329
18,Czechia,CZE,"6,920","1,815","1,260",715,660,158,48
19,Belgium,BEL,"6,805","1,907","1,106",764,492,49,204
20,France,FRA,"6,687","1,863","1,219",808,567,70,266
21,Bahrain,,"6,647","1,854","1,029",625,693,199,155
22,Slovenia,SVN,"6,630","1,810","1,249",769,685,118,115
23,Costa Rica,CRI,"6,582","1,584","1,054",744,661,89,102
24,United Arab Emirates,ARE,"6,576","1,998",980,633,702,204,250
25,Saudi Arabia,SAU,"6,523","1,870","1,092",577,651,78,180
26,Taiwan,TWN,"6,512","1,897","1,095",733,542,75,168
27,Singapore,,"6,480","2,149","1,127",851,672,163,587
28,Romania,ROU,"6,477","1,719","1,006",655,605,39,6
29,Spain,ESP,"6,476","1,808","1,211",808,505,101,149
30,Uruguay,URY,"6,474","1,615","1,180",672,665,103,265
31,Italy,ITA,"6,467","1,834","1,052",801,412,85,59
32,Kosovo,OSA,"6,455","1,362",949,569,599,309,35
33,Malta,,"6,447","1,838","1,169",789,679,174,166
34,Lithuania,LTU,"6,446","1,804","1,204",659,496,53,77
35,Slovakia,SVK,"6,391","1,736","1,232",707,479,118,25
36,Estonia,EST,"6,341","1,793","1,232",728,689,123,333
37,Panama,PAN,"6,309","1,715","1,107",709,592,49,51
38,Brazil,BRA,"6,293","1,462","1,044",615,546,131,134
39,Guatemala,GTM,"6,262","1,274",831,522,662,112,115
40,Kazakhstan,KAZ,"6,234","1,668","1,220",611,584,134,157
41,Cyprus,CYP,"6,221","1,815",909,819,448,123,62
42,Latvia,LVA,"6,180","1,732","1,221",637,502,75,90
43,Serbia,SRB,"6,178","1,550","1,086",658,546,219,88
44,Chile,CHL,"6,172","1,651","1,080",748,460,124,69
45,Nicaragua,NIC,"6,165","1,105","1,029",617,617,168,212
46,Mexico,MEX,"6,128","1,552",886,623,621,92,115
47,Croatia,HRV,"6,125","1,705","1,183",709,535,109,0
48,Poland,POL,"6,123","1,758","1,174",712,523,124,140
49,El Salvador,SLV,"6,120","1,265",768,607,666,89,212
50,Kuwait,KWT,"6,106","1,904",983,747,617,87,147
51,Hungary,HUN,"6,086","1,748","1,233",668,485,78,64
52,Mauritius,,"6,071","1,591","1,116",568,589,131,107
53,Uzbekistan,UZB,"6,063","1,219","1,092",600,716,283,240
54,Japan,JPN,"6,039","1,835","1,089",866,537,7,218
55,Honduras,HND,"6,022","1,111",885,555,582,202,76
56,Portugal,PRT,"6,016","1,760","1,078",777,655,16,39
57,Argentina,ARG,"5,967","1,592","1,102",662,555,81,85
58,Greece,GRC,"5,948","1,703",980,774,249,15,108
59,South Korea,FOR,"5,935","1,851",886,841,414,111,176
60,Philippines,PHL,"5,904","1,268",912,514,678,107,142
61,Thailand,THA,"5,891","1,535","1,096",697,617,321,26
62,Moldova,MDA,"5,857","1,417","1,008",597,561,102,28
63,Jamaica,JAM,"5,850","1,296","1,045",646,567,80,53
64,Kyrgyzstan,KGZ,"5,828","1,069","1,109",638,693,208,25
65,Belarus,BLR,"5,821","1,562","1,157",629,342,40,282
66,Colombia,COL,"5,781","1,452",929,720,545,87,77
67,Bosnia and Herzegovina,BIN,"5,768","1,468","1,068",665,448,244,6
68,Mongolia,MNG,"5,761","1,393","1,197",467,398,247,59
69,Dominican Republic,DOM,"5,737","1,538","1,003",577,606,84,179
70,Malaysia,MYS,"5,711","1,689",938,620,654,213,126
71,Bolivia,BOL,"5,600","1,256",880,555,627,112,64
72,China,CHN,"5,585","1,508",958,705,656,99,142
73,Paraguay,PRY,"5,578","1,409","1,130",624,629,171,59
74,Peru,PER,"5,559","1,397",865,735,545,90,37
75,Montenegro,MNE,"5,547","1,573","1,023",659,460,135,77
76,Ecuador,ECU,"5,533","1,352",879,708,565,80,83
77,Vietnam,VNM,"5,485","1,252",932,611,707,143,105
78,Turkmenistan,TKM,"5,474","1,484","1,319",516,649,314,32
79,North Cyprus,-99,"5,467","1,815",888,819,523,130,213
80,Russia,RUS,"5,459","1,685","1,095",586,401,117,80
81,Hong Kong,,"5,425","1,957",954,942,400,147,383
82,Armenia,ARM,"5,399","1,434",820,668,558,54,210
83,Tajikistan,TJK,"5,377",966,"1,005",518,572,118,304
84,Nepal,MPL,"5,377",984,784,499,519,237,130
85,Bulgaria,BGR,"5,371","1,625","1,163",640,563,123,21
86,Libya,LBY,"5,330","1,476",943,606,477,106,179
87,Indonesia,IDN,"5,240","1,382",883,539,620,468,47
88,Ivory Coast,CIV,"5,235","1,094",442,322,451,149,124
89,North Macedonia,,"5,199","1,505",863,637,488,215,31
90,Albania,ALB,"5,199","1,439",646,719,511,138,28
91,South Africa,ZAF,"5,194","1,425","1,088",361,442,89,46
92,Azerbaijan,AZE,"5,173","1,458","1,093",560,601,23,341
93,Gambia,GMB,"5,164",785,621,369,367,388,103
94,Bangladesh,BGD,"5,155","1,060",614,581,622,125,187
95,Laos,LAO,"5,140","1,239",654,479,679,197,184
96,Algeria,DZA,"5,122","1,363",970,643,146,106,150
97,Liberia,LBR,"5,122",636,670,309,405,178,80
98,Ukraine,UKR,"5,084","1,411","1,081",583,473,188,17
99,Congo,COD,"5,075",950,405,355,431,130,146
100,Morocco,MAR,"5,060","1,208",268,565,492,20,102
101,Mozambique,MOZ,"5,048",578,660,191,593,185,200
102,Cameroon,CMR,"5,048",968,672,317,397,152,74
103,Senegal,SEN,"5,046",933,530,447,494,143,81
104,Niger,NER,"5,003",570,560,326,571,165,145
105,Georgia,GEO,"4,973","1,467",612,595,508,0,208
106,Gabon,GAB,"4,958","1,459",738,396,343,32,99
107,Iraq,IRQ,"4,941","1,289",682,554,328,147,46
108,Venezuela,VEN,"4,925",0,968,578,283,225,82
109,Guinea,GNB,"4,891",848,566,275,334,214,116
110,Iran,IRN,"4,888","1,410",741,642,281,241,146
111,Ghana,GHA,"4,872","1,112",595,409,500,230,56
112,Turkey,TUR,"4,744","1,707",865,702,209,87,115
113,Burkina Faso,BFA,"4,670",779,565,320,382,186,126
114,Cambodia,KHM,"4,640","1,019",732,505,740,166,68
115,Benin,BEN,"4,623",932,64,335,479,127,230
116,Comoros,,"4,609",899,476,424,185,195,125
117,Uganda,UGA,"4,603",777,875,418,402,222,66
118,Nigeria,NGA,"4,552","1,079",732,300,444,175,38
119,Kenya,KEN,"4,543","1,032",605,401,440,322,82
120,Tunisia,TUN,"4,516","1,350",596,656,316,29,29
121,Pakistan,PAK,"4,516","1,049",413,374,448,181,112
122,Palestinian Territories,,"4,483","1,148",957,521,336,73,79
123,Mali,MLI,"4,479",792,483,311,350,128,42
124,Namibia,NAM,"4,459","1,292",877,354,384,67,71
125,"Eswatini, Kingdom of",,"4,396","1,274",786,197,259,38,154
126,Myanmar,MMR,"4,394","1,038",829,491,513,452,194
127,Sri Lanka,LKA,"4,362","1,415",934,660,529,150,79
128,Madagascar,MDG,"4,339",670,645,378,202,143,154
129,Egypt,EGY,"4,288","1,388",732,548,469,41,254
130,Chad,TCD,"4,251",662,506,225,180,182,77
131,Ethiopia,ETH,"4,241",788,809,457,472,205,136
132,Yemen,YEM,"4,197",691,"1,043",384,330,90,98
133,Mauritania,MRT,"4,153","1,100",865,450,304,88,138
134,Jordan,JOR,"4,152","1,324",724,675,476,58,200
135,Togo,TGO,"4,112",771,322,360,292,174,132
136,India,IND,"3,777","1,167",376,471,647,198,123
137,Zambia,ZMB,"3,760",930,577,306,525,203,83
138,Malawi,MWI,"3,750",648,279,388,477,140,157
139,Tanzania,TZA,"3,702",848,597,425,578,248,270
140,Sierra Leone,SLE,"3,574",686,416,273,387,202,55
141,Lesotho,LSO,"3,512",839,848,0,419,76,18
142,Botswana,BWA,"3,471","1,503",815,280,571,12,102
143,Rwanda,RWA,"3,268",785,133,462,621,187,544
144,Zimbabwe,ZWE,"2,995",947,690,270,329,106,105
145,Lebanon,LBN,"2,955","1,392",498,631,103,82,34
146,Afghanistan,AFG,"2,404",758,0,289,0,89,5
